name,family,ticker,category,is_sharpe,oos_sharpe,oos_drawdown,trade_count
er_regime__er_period10__mom_period20__er_thresh0.4,er_regime,SPY,trend,-0.2271,-0.0966,-0.1541,1529
er_regime__er_period10__mom_period20__er_thresh0.3,er_regime,SPY,trend,-0.0787,-0.1366,-0.1999,1470
er_regime__er_period14__mom_period20__er_thresh0.4,er_regime,SPY,trend,-0.7282,-0.2636,-0.2645,1308
er_regime__er_period20__mom_period40__er_thresh0.4,er_regime,SPY,trend,-0.1459,-0.4367,-0.3449,1031
er_regime__er_period10__mom_period10__er_thresh0.4,er_regime,SPY,trend,-0.3282,-0.121,-0.2421,1701
mcginley_dynamic__fast5__slow20,mcginley_dynamic,SPY,trend,0.2494,-0.6293,-0.4195,196
mcginley_dynamic__fast10__slow40,mcginley_dynamic,SPY,trend,0.3159,0.0241,-0.3318,83
mcginley_dynamic__fast12__slow26,mcginley_dynamic,SPY,trend,0.164,-0.2803,-0.4245,109
mcginley_dynamic__fast5__slow14,mcginley_dynamic,SPY,trend,-0.0318,-0.6146,-0.4261,230
cci_trend__period14__threshold50.0,cci_trend,SPY,trend,-0.0275,-0.5824,-0.3361,901
cci_trend__period20__threshold50.0,cci_trend,SPY,trend,0.0947,-0.8784,-0.4324,741
cci_trend__period20__threshold100.0,cci_trend,SPY,trend,-0.0734,-0.4949,-0.2878,808
cci_trend__period30__threshold50.0,cci_trend,SPY,trend,0.2096,-0.6344,-0.348,568
cci_trend__period14__threshold100.0,cci_trend,SPY,trend,-0.0767,-0.2117,-0.188,967
volume_roc__period10__signal_period5,volume_roc,SPY,volume,0.2876,-0.5713,-0.2409,793
volume_roc__period14__signal_period10,volume_roc,SPY,volume,0.2049,0.0103,-0.2235,617
volume_roc__period20__signal_period10,volume_roc,SPY,volume,0.4094,-0.2994,-0.2285,509
volume_roc__period5__signal_period3,volume_roc,SPY,volume,-0.5034,0.0584,-0.1317,1226
hv_ratio__fast_period10__slow_period100__thresh_hi1.5__thresh_lo0.7,hv_ratio,SPY,volatility,0.2947,0.2979,-0.1252,427
hv_ratio__fast_period10__slow_period60__thresh_hi1.5__thresh_lo0.7,hv_ratio,SPY,volatility,0.4148,0.1552,-0.1202,392
hv_ratio__fast_period21__slow_period100__thresh_hi1.5__thresh_lo0.7,hv_ratio,SPY,volatility,0.0779,0.0429,-0.1033,202
hv_ratio__fast_period10__slow_period100__thresh_hi2.0__thresh_lo0.5,hv_ratio,SPY,volatility,0.1849,-0.4019,-0.1448,179
zscore_trend__z_period20__trend_period50__z_thresh1.5,zscore_trend,SPY,meanrev,0.1205,-0.1814,-0.0426,94
zscore_trend__z_period20__trend_period50__z_thresh1.0,zscore_trend,SPY,meanrev,0.5761,-0.1428,-0.0724,196
zscore_trend__z_period20__trend_period100__z_thresh1.5,zscore_trend,SPY,meanrev,0.3515,0.1254,-0.0785,199
zscore_trend__z_period30__trend_period100__z_thresh2.0,zscore_trend,SPY,meanrev,0.213,-0.4046,-0.0387,46
er_regime__er_period10__mom_period20__er_thresh0.4,er_regime,QQQ,trend,-0.8403,0.0596,-0.2859,1500
er_regime__er_period10__mom_period20__er_thresh0.3,er_regime,QQQ,trend,-0.445,-0.0975,-0.2947,1450
er_regime__er_period14__mom_period20__er_thresh0.4,er_regime,QQQ,trend,-0.9341,-0.3768,-0.3954,1340
er_regime__er_period20__mom_period40__er_thresh0.4,er_regime,QQQ,trend,0.1498,-0.5047,-0.5022,991
er_regime__er_period10__mom_period10__er_thresh0.4,er_regime,QQQ,trend,-0.312,0.4733,-0.2968,1677
mcginley_dynamic__fast5__slow20,mcginley_dynamic,QQQ,trend,0.3727,-0.5999,-0.5363,186
mcginley_dynamic__fast10__slow40,mcginley_dynamic,QQQ,trend,0.2757,-0.2804,-0.393,90
mcginley_dynamic__fast12__slow26,mcginley_dynamic,QQQ,trend,0.1891,-0.0935,-0.3247,98
mcginley_dynamic__fast5__slow14,mcginley_dynamic,QQQ,trend,0.3566,-0.6247,-0.5319,228
cci_trend__period14__threshold50.0,cci_trend,QQQ,trend,-0.0793,-0.2995,-0.3498,892
cci_trend__period20__threshold50.0,cci_trend,QQQ,trend,0.1028,-0.6693,-0.4877,739
cci_trend__period20__threshold100.0,cci_trend,QQQ,trend,0.0086,-0.4586,-0.3128,768
cci_trend__period30__threshold50.0,cci_trend,QQQ,trend,0.3769,-0.7416,-0.5074,539
cci_trend__period14__threshold100.0,cci_trend,QQQ,trend,-0.2935,-0.3632,-0.2683,967
volume_roc__period10__signal_period5,volume_roc,QQQ,volume,-0.0251,-0.7554,-0.3269,838
volume_roc__period14__signal_period10,volume_roc,QQQ,volume,0.0967,0.3388,-0.1933,634
volume_roc__period20__signal_period10,volume_roc,QQQ,volume,0.3738,-0.0827,-0.1962,522
volume_roc__period5__signal_period3,volume_roc,QQQ,volume,-0.2246,-0.0974,-0.2495,1134
hv_ratio__fast_period10__slow_period100__thresh_hi1.5__thresh_lo0.7,hv_ratio,QQQ,volatility,0.3178,0.6161,-0.1168,420
hv_ratio__fast_period10__slow_period60__thresh_hi1.5__thresh_lo0.7,hv_ratio,QQQ,volatility,0.3097,0.4903,-0.1022,366
hv_ratio__fast_period21__slow_period100__thresh_hi1.5__thresh_lo0.7,hv_ratio,QQQ,volatility,0.4244,-0.053,-0.2174,186
hv_ratio__fast_period10__slow_period100__thresh_hi2.0__thresh_lo0.5,hv_ratio,QQQ,volatility,0.0543,-0.1347,-0.1211,167
zscore_trend__z_period20__trend_period50__z_thresh1.5,zscore_trend,QQQ,meanrev,-0.0593,0.9194,-0.0226,80
zscore_trend__z_period20__trend_period50__z_thresh1.0,zscore_trend,QQQ,meanrev,0.3471,0.7819,-0.0531,201
zscore_trend__z_period20__trend_period100__z_thresh1.5,zscore_trend,QQQ,meanrev,0.2728,0.1702,-0.1111,216
zscore_trend__z_period30__trend_period100__z_thresh2.0,zscore_trend,QQQ,meanrev,0.1965,0.3269,-0.0491,64
er_regime__er_period10__mom_period20__er_thresh0.4,er_regime,IWM,trend,0.4018,-0.5861,-0.4102,1551
er_regime__er_period10__mom_period20__er_thresh0.3,er_regime,IWM,trend,0.5304,-0.6611,-0.4479,1609
er_regime__er_period14__mom_period20__er_thresh0.4,er_regime,IWM,trend,-0.1428,-0.0784,-0.3098,1393
er_regime__er_period20__mom_period40__er_thresh0.4,er_regime,IWM,trend,-0.006,-0.0346,-0.3554,1067
er_regime__er_period10__mom_period10__er_thresh0.4,er_regime,IWM,trend,-0.0327,-0.4987,-0.379,1769
mcginley_dynamic__fast5__slow20,mcginley_dynamic,IWM,trend,0.0303,-0.6414,-0.5039,225
mcginley_dynamic__fast10__slow40,mcginley_dynamic,IWM,trend,0.3464,-0.423,-0.4299,99
mcginley_dynamic__fast12__slow26,mcginley_dynamic,IWM,trend,0.3006,-0.582,-0.4841,107
mcginley_dynamic__fast5__slow14,mcginley_dynamic,IWM,trend,-0.0067,-0.6949,-0.5448,275
cci_trend__period14__threshold50.0,cci_trend,IWM,trend,-0.2086,-0.5058,-0.3897,947
cci_trend__period20__threshold50.0,cci_trend,IWM,trend,0.0006,-1.1256,-0.6026,795
cci_trend__period20__threshold100.0,cci_trend,IWM,trend,0.2021,-0.6924,-0.3382,752
cci_trend__period30__threshold50.0,cci_trend,IWM,trend,-0.1985,-0.6784,-0.4587,664
cci_trend__period14__threshold100.0,cci_trend,IWM,trend,0.0829,-0.3403,-0.3071,906
volume_roc__period10__signal_period5,volume_roc,IWM,volume,0.1999,-0.1328,-0.1632,858
volume_roc__period14__signal_period10,volume_roc,IWM,volume,0.5206,-0.016,-0.2048,656
volume_roc__period20__signal_period10,volume_roc,IWM,volume,0.3044,-0.4071,-0.3577,576
volume_roc__period5__signal_period3,volume_roc,IWM,volume,-0.1586,-0.0964,-0.2425,1225
hv_ratio__fast_period10__slow_period100__thresh_hi1.5__thresh_lo0.7,hv_ratio,IWM,volatility,0.0606,0.0074,-0.2117,386
hv_ratio__fast_period10__slow_period60__thresh_hi1.5__thresh_lo0.7,hv_ratio,IWM,volatility,0.4046,-0.0834,-0.1539,352
hv_ratio__fast_period21__slow_period100__thresh_hi1.5__thresh_lo0.7,hv_ratio,IWM,volatility,-0.0975,0.4093,-0.1011,155
hv_ratio__fast_period10__slow_period100__thresh_hi2.0__thresh_lo0.5,hv_ratio,IWM,volatility,0.0099,-0.0334,-0.0692,118
zscore_trend__z_period20__trend_period50__z_thresh1.5,zscore_trend,IWM,meanrev,0.0892,0.3943,-0.0269,96
zscore_trend__z_period20__trend_period50__z_thresh1.0,zscore_trend,IWM,meanrev,-0.0325,-0.3845,-0.1167,214
zscore_trend__z_period20__trend_period100__z_thresh1.5,zscore_trend,IWM,meanrev,0.8263,0.2753,-0.0473,224
zscore_trend__z_period30__trend_period100__z_thresh2.0,zscore_trend,IWM,meanrev,0.4534,0.4859,-0.0174,54
er_regime__er_period10__mom_period20__er_thresh0.4,er_regime,DIA,trend,0.0621,-0.3554,-0.2127,1499
er_regime__er_period10__mom_period20__er_thresh0.3,er_regime,DIA,trend,0.3911,-0.2057,-0.248,1484
er_regime__er_period14__mom_period20__er_thresh0.4,er_regime,DIA,trend,0.1347,-0.4777,-0.3241,1273
er_regime__er_period20__mom_period40__er_thresh0.4,er_regime,DIA,trend,-0.0048,-0.1336,-0.2906,990
er_regime__er_period10__mom_period10__er_thresh0.4,er_regime,DIA,trend,-0.1769,-0.307,-0.2589,1704
mcginley_dynamic__fast5__slow20,mcginley_dynamic,DIA,trend,0.3863,-0.6951,-0.4317,181
mcginley_dynamic__fast10__slow40,mcginley_dynamic,DIA,trend,0.4241,-0.11,-0.3052,85
mcginley_dynamic__fast12__slow26,mcginley_dynamic,DIA,trend,0.1099,-0.5458,-0.3946,113
mcginley_dynamic__fast5__slow14,mcginley_dynamic,DIA,trend,0.2774,-0.9127,-0.5034,237
cci_trend__period14__threshold50.0,cci_trend,DIA,trend,0.3602,-0.5486,-0.3437,902
