name,family,ticker,category,is_sharpe,oos_sharpe,oos_drawdown,trade_count
overnight_gap__period3__threshold0.003,overnight_gap,QQQ,volume,0.1413,-0.2161,-0.3098,1163
overnight_gap__period5__threshold0.001,overnight_gap,QQQ,volume,0.1149,-0.5712,-0.4219,1287
overnight_gap__period5__threshold0.003,overnight_gap,QQQ,volume,-0.2223,-0.3012,-0.2599,690
coppock_curve__roc1252__roc2189__wma_period63,coppock_curve,QQQ,trend,0.853,0.6682,-0.234,6
coppock_curve__roc1189__roc2126__wma_period42,coppock_curve,QQQ,trend,0.7426,0.6479,-0.1916,12
coppock_curve__roc1126__roc2100__wma_period21,coppock_curve,QQQ,trend,0.4255,0.6,-0.2387,24
high52_momentum__period252__threshold0.7,high52_momentum,IWM,trend,0.0924,0.0391,-0.2793,224
high52_momentum__period252__threshold0.75,high52_momentum,IWM,trend,0.1353,-0.0278,-0.2503,216
high52_momentum__period252__threshold0.8,high52_momentum,IWM,trend,0.2032,-0.1578,-0.2648,232
high52_momentum__period126__threshold0.7,high52_momentum,IWM,trend,0.1489,-0.2929,-0.2708,344
high52_momentum__period126__threshold0.75,high52_momentum,IWM,trend,0.0581,-0.4893,-0.332,360
short_reversal__period5,short_reversal,IWM,meanrev,0.3071,0.1159,-0.2872,777
short_reversal__period10,short_reversal,IWM,meanrev,-0.143,0.4976,-0.1919,530
short_reversal__period15,short_reversal,IWM,meanrev,-0.1545,0.9739,-0.1705,451
short_reversal__period20,short_reversal,IWM,meanrev,-0.0224,0.8648,-0.2046,375
low_vol_regime__period20__ma_period60,low_vol_regime,IWM,volatility,-0.0568,0.1144,-0.1268,128
low_vol_regime__period20__ma_period120,low_vol_regime,IWM,volatility,-0.0879,-0.2033,-0.1915,142
low_vol_regime__period60__ma_period120,low_vol_regime,IWM,volatility,-0.1336,-0.32,-0.2236,42
low_vol_regime__period20__ma_period252,low_vol_regime,IWM,volatility,-0.2563,-0.415,-0.2494,148
low_vol_regime__period60__ma_period252,low_vol_regime,IWM,volatility,0.028,0.356,-0.1274,48
low_vol_regime__period120__ma_period252,low_vol_regime,IWM,volatility,0.0624,0.3381,-0.1072,20
nr_breakout__nr_period4__exit_bars3,nr_breakout,IWM,pattern,-0.3389,-0.5271,-0.2938,994
nr_breakout__nr_period4__exit_bars5,nr_breakout,IWM,pattern,-0.0542,-0.3079,-0.338,791
nr_breakout__nr_period7__exit_bars3,nr_breakout,IWM,pattern,-0.4724,-0.3784,-0.2183,694
nr_breakout__nr_period7__exit_bars5,nr_breakout,IWM,pattern,-0.1746,0.4315,-0.1588,606
nr_breakout__nr_period10__exit_bars5,nr_breakout,IWM,pattern,-0.1591,0.1544,-0.1824,493
nr_breakout__nr_period10__exit_bars10,nr_breakout,IWM,pattern,-0.0352,-0.0289,-0.3215,393
overnight_gap__period1__threshold0.001,overnight_gap,IWM,volume,-0.3113,-0.1685,-0.3268,2390
overnight_gap__period1__threshold0.003,overnight_gap,IWM,volume,-0.3024,-0.0769,-0.2555,2369
overnight_gap__period3__threshold0.001,overnight_gap,IWM,volume,0.1546,-0.0842,-0.3516,1533
overnight_gap__period3__threshold0.003,overnight_gap,IWM,volume,0.16,-0.2254,-0.2666,1179
overnight_gap__period5__threshold0.001,overnight_gap,IWM,volume,0.1358,-0.9218,-0.5485,1285
overnight_gap__period5__threshold0.003,overnight_gap,IWM,volume,0.2693,-0.3969,-0.1985,748
coppock_curve__roc1252__roc2189__wma_period63,coppock_curve,IWM,trend,-0.3861,0.1608,-0.2647,14
coppock_curve__roc1189__roc2126__wma_period42,coppock_curve,IWM,trend,-0.1597,0.4888,-0.1982,18
coppock_curve__roc1126__roc2100__wma_period21,coppock_curve,IWM,trend,-0.142,0.1937,-0.2226,32
high52_momentum__period252__threshold0.7,high52_momentum,DIA,trend,0.3623,-0.0674,-0.3612,181
high52_momentum__period252__threshold0.75,high52_momentum,DIA,trend,0.3462,-0.2885,-0.3913,214
high52_momentum__period252__threshold0.8,high52_momentum,DIA,trend,0.3313,-0.3648,-0.3613,232
high52_momentum__period126__threshold0.7,high52_momentum,DIA,trend,0.2648,-0.2943,-0.3207,284
high52_momentum__period126__threshold0.75,high52_momentum,DIA,trend,0.284,-0.2617,-0.2571,308
short_reversal__period5,short_reversal,DIA,meanrev,-0.0376,0.0346,-0.1823,722
short_reversal__period10,short_reversal,DIA,meanrev,-0.5248,0.7327,-0.1418,486
short_reversal__period15,short_reversal,DIA,meanrev,-0.3759,0.8531,-0.1212,414
short_reversal__period20,short_reversal,DIA,meanrev,-0.3787,0.6158,-0.2054,324
low_vol_regime__period20__ma_period60,low_vol_regime,DIA,volatility,-0.0775,-0.1296,-0.159,150
low_vol_regime__period20__ma_period120,low_vol_regime,DIA,volatility,0.1136,0.1692,-0.1899,158
low_vol_regime__period60__ma_period120,low_vol_regime,DIA,volatility,-0.0946,0.0176,-0.192,60
low_vol_regime__period20__ma_period252,low_vol_regime,DIA,volatility,-0.1405,0.2364,-0.1486,150
low_vol_regime__period60__ma_period252,low_vol_regime,DIA,volatility,0.2571,-0.0278,-0.2207,58
low_vol_regime__period120__ma_period252,low_vol_regime,DIA,volatility,0.6845,-0.0532,-0.1941,44
nr_breakout__nr_period4__exit_bars3,nr_breakout,DIA,pattern,0.013,-0.4901,-0.2362,973
nr_breakout__nr_period4__exit_bars5,nr_breakout,DIA,pattern,0.0876,0.056,-0.1709,745
nr_breakout__nr_period7__exit_bars3,nr_breakout,DIA,pattern,0.164,-0.3123,-0.2048,690
nr_breakout__nr_period7__exit_bars5,nr_breakout,DIA,pattern,0.3355,0.6664,-0.1184,594
nr_breakout__nr_period10__exit_bars5,nr_breakout,DIA,pattern,0.3546,0.5832,-0.1248,468
nr_breakout__nr_period10__exit_bars10,nr_breakout,DIA,pattern,0.1227,0.1288,-0.1628,385
overnight_gap__period1__threshold0.001,overnight_gap,DIA,volume,-0.3151,0.5534,-0.1931,2455
overnight_gap__period1__threshold0.003,overnight_gap,DIA,volume,-0.2784,0.3677,-0.1819,2143
overnight_gap__period3__threshold0.001,overnight_gap,DIA,volume,0.2886,0.3102,-0.2,1553
overnight_gap__period3__threshold0.003,overnight_gap,DIA,volume,0.1068,0.2789,-0.1337,858
overnight_gap__period5__threshold0.001,overnight_gap,DIA,volume,0.1221,-0.4078,-0.2593,1255
overnight_gap__period5__threshold0.003,overnight_gap,DIA,volume,0.0504,0.1687,-0.1194,551
coppock_curve__roc1252__roc2189__wma_period63,coppock_curve,DIA,trend,0.651,0.2225,-0.2997,10
coppock_curve__roc1189__roc2126__wma_period42,coppock_curve,DIA,trend,0.5075,0.0794,-0.3223,12
coppock_curve__roc1126__roc2100__wma_period21,coppock_curve,DIA,trend,0.4992,0.3251,-0.2644,18
high52_momentum__period252__threshold0.7,high52_momentum,XLK,trend,0.4325,0.125,-0.3489,183
high52_momentum__period252__threshold0.75,high52_momentum,XLK,trend,0.3964,0.1913,-0.275,195
high52_momentum__period252__threshold0.8,high52_momentum,XLK,trend,0.4611,0.0072,-0.3162,211
high52_momentum__period126__threshold0.7,high52_momentum,XLK,trend,0.3728,-0.1996,-0.3457,287
high52_momentum__period126__threshold0.75,high52_momentum,XLK,trend,0.1929,-0.2088,-0.3518,329
short_reversal__period5,short_reversal,XLK,meanrev,0.4497,0.2452,-0.2769,769
short_reversal__period10,short_reversal,XLK,meanrev,-0.1328,0.5525,-0.2321,502
short_reversal__period15,short_reversal,XLK,meanrev,0.1128,0.317,-0.2925,392
short_reversal__period20,short_reversal,XLK,meanrev,-0.3773,0.5547,-0.2069,345
low_vol_regime__period20__ma_period60,low_vol_regime,XLK,volatility,0.0268,-0.1046,-0.1921,131
low_vol_regime__period20__ma_period120,low_vol_regime,XLK,volatility,0.0409,0.1475,-0.174,156
low_vol_regime__period60__ma_period120,low_vol_regime,XLK,volatility,0.3993,-0.1439,-0.2638,44
low_vol_regime__period20__ma_period252,low_vol_regime,XLK,volatility,0.3466,-0.013,-0.256,154
low_vol_regime__period60__ma_period252,low_vol_regime,XLK,volatility,0.1257,-0.2032,-0.3568,50
low_vol_regime__period120__ma_period252,low_vol_regime,XLK,volatility,0.18,0.0813,-0.2849,30
nr_breakout__nr_period4__exit_bars3,nr_breakout,XLK,pattern,0.3374,-0.6467,-0.3577,963
nr_breakout__nr_period4__exit_bars5,nr_breakout,XLK,pattern,0.3752,-0.3552,-0.4,746
nr_breakout__nr_period7__exit_bars3,nr_breakout,XLK,pattern,0.0284,-0.1052,-0.2236,681
nr_breakout__nr_period7__exit_bars5,nr_breakout,XLK,pattern,0.0126,0.3062,-0.2477,612
nr_breakout__nr_period10__exit_bars5,nr_breakout,XLK,pattern,-0.1973,0.3685,-0.1867,482
nr_breakout__nr_period10__exit_bars10,nr_breakout,XLK,pattern,-0.0736,0.1545,-0.2298,365
overnight_gap__period1__threshold0.001,overnight_gap,XLK,volume,-0.5301,0.3236,-0.2772,2388
overnight_gap__period1__threshold0.003,overnight_gap,XLK,volume,-0.3951,0.7138,-0.2133,2386
overnight_gap__period3__threshold0.001,overnight_gap,XLK,volume,0.0638,-0.1674,-0.4774,1510
overnight_gap__period3__threshold0.003,overnight_gap,XLK,volume,-0.151,-0.2398,-0.4029,1208
overnight_gap__period5__threshold0.001,overnight_gap,XLK,volume,-0.1171,-0.2009,-0.3327,1246
overnight_gap__period5__threshold0.003,overnight_gap,XLK,volume,-0.1856,-0.4852,-0.3223,764
coppock_curve__roc1252__roc2189__wma_period63,coppock_curve,XLK,trend,0.7949,0.6253,-0.2378,6
coppock_curve__roc1189__roc2126__wma_period42,coppock_curve,XLK,trend,0.6772,0.4651,-0.2735,10
coppock_curve__roc1126__roc2100__wma_period21,coppock_curve,XLK,trend,0.3643,0.4577,-0.333,22
high52_momentum__period252__threshold0.7,high52_momentum,XLF,trend,0.3341,0.2809,-0.4348,197
high52_momentum__period252__threshold0.75,high52_momentum,XLF,trend,0.4509,0.4725,-0.3393,191
high52_momentum__period252__threshold0.8,high52_momentum,XLF,trend,0.3077,0.3323,-0.3199,207
high52_momentum__period126__threshold0.7,high52_momentum,XLF,trend,0.1158,0.0067,-0.4449,315
high52_momentum__period126__threshold0.75,high52_momentum,XLF,trend,0.1465,0.0539,-0.3545,328
short_reversal__period5,short_reversal,XLF,meanrev,-0.1065,0.7489,-0.238,804
short_reversal__period10,short_reversal,XLF,meanrev,0.0709,0.3918,-0.2002,573
short_reversal__period15,short_reversal,XLF,meanrev,-0.2133,0.4717,-0.2623,440
short_reversal__period20,short_reversal,XLF,meanrev,-0.0733,0.2037,-0.2414,373
low_vol_regime__period20__ma_period60,low_vol_regime,XLF,volatility,-0.1525,0.2521,-0.1197,151
low_vol_regime__period20__ma_period120,low_vol_regime,XLF,volatility,-0.4867,0.5107,-0.1465,160
low_vol_regime__period60__ma_period120,low_vol_regime,XLF,volatility,-0.3806,-0.1555,-0.2963,55
low_vol_regime__period20__ma_period252,low_vol_regime,XLF,volatility,-0.1462,0.2407,-0.2148,148
low_vol_regime__period60__ma_period252,low_vol_regime,XLF,volatility,-0.1229,0.3485,-0.1831,52
low_vol_regime__period120__ma_period252,low_vol_regime,XLF,volatility,0.5557,0.4373,-0.143,34
nr_breakout__nr_period4__exit_bars3,nr_breakout,XLF,pattern,-0.4889,-0.1627,-0.2418,955
nr_breakout__nr_period4__exit_bars5,nr_breakout,XLF,pattern,0.1054,0.0741,-0.2771,761
nr_breakout__nr_period7__exit_bars3,nr_breakout,XLF,pattern,-0.2,0.2584,-0.2014,708
nr_breakout__nr_period7__exit_bars5,nr_breakout,XLF,pattern,0.0081,0.2785,-0.2841,607
nr_breakout__nr_period10__exit_bars5,nr_breakout,XLF,pattern,0.0359,0.3808,-0.1766,468
nr_breakout__nr_period10__exit_bars10,nr_breakout,XLF,pattern,-0.1723,-0.3306,-0.3213,375
overnight_gap__period1__threshold0.001,overnight_gap,XLF,volume,-0.5688,0.0002,-0.2565,2389
overnight_gap__period1__threshold0.003,overnight_gap,XLF,volume,-0.2621,0.0401,-0.3205,2414
overnight_gap__period3__threshold0.001,overnight_gap,XLF,volume,0.0086,0.0659,-0.2869,1476
overnight_gap__period3__threshold0.003,overnight_gap,XLF,volume,0.1749,-0.0392,-0.242,1188
overnight_gap__period5__threshold0.001,overnight_gap,XLF,volume,-0.0846,-0.409,-0.3836,1240
overnight_gap__period5__threshold0.003,overnight_gap,XLF,volume,-0.2525,-0.1016,-0.2122,820
coppock_curve__roc1252__roc2189__wma_period63,coppock_curve,XLF,trend,-0.0977,0.847,-0.1843,12
coppock_curve__roc1189__roc2126__wma_period42,coppock_curve,XLF,trend,0.154,0.7044,-0.3112,19
coppock_curve__roc1126__roc2100__wma_period21,coppock_curve,XLF,trend,0.413,0.7802,-0.2649,21
high52_momentum__period252__threshold0.7,high52_momentum,XLE,trend,0.2698,0.2099,-0.246,170
high52_momentum__period252__threshold0.75,high52_momentum,XLE,trend,0.0749,-0.0106,-0.2615,194
high52_momentum__period252__threshold0.8,high52_momentum,XLE,trend,0.0001,-0.0779,-0.3154,216
high52_momentum__period126__threshold0.7,high52_momentum,XLE,trend,0.1536,-0.093,-0.3278,297
high52_momentum__period126__threshold0.75,high52_momentum,XLE,trend,-0.0644,-0.2759,-0.3506,319
short_reversal__period5,short_reversal,XLE,meanrev,-0.1087,0.1163,-0.3384,794
short_reversal__period10,short_reversal,XLE,meanrev,-0.304,-0.0203,-0.3163,521
short_reversal__period15,short_reversal,XLE,meanrev,-0.0535,-0.236,-0.4489,440
short_reversal__period20,short_reversal,XLE,meanrev,-0.2568,-0.5205,-0.5996,334
low_vol_regime__period20__ma_period60,low_vol_regime,XLE,volatility,-0.0817,0.5998,-0.1123,134
low_vol_regime__period20__ma_period120,low_vol_regime,XLE,volatility,-0.0711,0.3141,-0.1782,134
low_vol_regime__period60__ma_period120,low_vol_regime,XLE,volatility,0.0361,-0.9993,-0.4487,42
low_vol_regime__period20__ma_period252,low_vol_regime,XLE,volatility,-0.1285,-0.467,-0.3957,160
low_vol_regime__period60__ma_period252,low_vol_regime,XLE,volatility,-0.3244,-0.4531,-0.3685,82
low_vol_regime__period120__ma_period252,low_vol_regime,XLE,volatility,0.0468,0.099,-0.1444,48
nr_breakout__nr_period4__exit_bars3,nr_breakout,XLE,pattern,-0.1423,-0.1549,-0.359,974
nr_breakout__nr_period4__exit_bars5,nr_breakout,XLE,pattern,-0.2374,0.2669,-0.2835,752
nr_breakout__nr_period7__exit_bars3,nr_breakout,XLE,pattern,-0.0748,0.257,-0.2331,693
nr_breakout__nr_period7__exit_bars5,nr_breakout,XLE,pattern,-0.0396,0.5362,-0.2208,595
nr_breakout__nr_period10__exit_bars5,nr_breakout,XLE,pattern,0.1666,0.0371,-0.1981,477
nr_breakout__nr_period10__exit_bars10,nr_breakout,XLE,pattern,0.4224,-0.3948,-0.3277,367
overnight_gap__period1__threshold0.001,overnight_gap,XLE,volume,-0.2518,0.6204,-0.3372,2240
overnight_gap__period1__threshold0.003,overnight_gap,XLE,volume,-0.2471,0.4387,-0.3624,2457
overnight_gap__period3__threshold0.001,overnight_gap,XLE,volume,-0.1364,0.8337,-0.1721,1490
overnight_gap__period3__threshold0.003,overnight_gap,XLE,volume,-0.1823,0.2887,-0.331,1360
overnight_gap__period5__threshold0.001,overnight_gap,XLE,volume,-0.3689,0.8193,-0.2063,1232
overnight_gap__period5__threshold0.003,overnight_gap,XLE,volume,-0.2027,0.26,-0.2487,989
coppock_curve__roc1252__roc2189__wma_period63,coppock_curve,XLE,trend,-0.0421,0.4835,-0.2128,10
coppock_curve__roc1189__roc2126__wma_period42,coppock_curve,XLE,trend,0.2668,0.5984,-0.2106,12
coppock_curve__roc1126__roc2100__wma_period21,coppock_curve,XLE,trend,0.0907,-0.222,-0.4198,36
high52_momentum__period252__threshold0.7,high52_momentum,XLV,trend,0.1682,0.3478,-0.2843,183
high52_momentum__period252__threshold0.75,high52_momentum,XLV,trend,0.2488,0.3452,-0.2664,163
high52_momentum__period252__threshold0.8,high52_momentum,XLV,trend,0.3952,0.444,-0.19,159
high52_momentum__period126__threshold0.7,high52_momentum,XLV,trend,0.1308,0.0484,-0.3315,301
high52_momentum__period126__threshold0.75,high52_momentum,XLV,trend,-0.0615,0.2,-0.2562,313
short_reversal__period5,short_reversal,XLV,meanrev,0.1709,-0.1569,-0.417,755
short_reversal__period10,short_reversal,XLV,meanrev,-0.2721,0.1861,-0.2623,517
short_reversal__period15,short_reversal,XLV,meanrev,0.0319,0.4314,-0.3238,416
short_reversal__period20,short_reversal,XLV,meanrev,-0.0553,0.0657,-0.2237,341
low_vol_regime__period20__ma_period60,low_vol_regime,XLV,volatility,-0.3018,0.1381,-0.1042,128
low_vol_regime__period20__ma_period120,low_vol_regime,XLV,volatility,-0.2423,0.3276,-0.1177,136
low_vol_regime__period60__ma_period120,low_vol_regime,XLV,volatility,-0.1857,0.5477,-0.1215,48
low_vol_regime__period20__ma_period252,low_vol_regime,XLV,volatility,-0.1532,0.5562,-0.1202,150
low_vol_regime__period60__ma_period252,low_vol_regime,XLV,volatility,-0.1341,0.6252,-0.156,48
low_vol_regime__period120__ma_period252,low_vol_regime,XLV,volatility,-0.1775,0.0014,-0.2345,26
nr_breakout__nr_period4__exit_bars3,nr_breakout,XLV,pattern,-0.3192,0.5578,-0.1244,956
nr_breakout__nr_period4__exit_bars5,nr_breakout,XLV,pattern,-0.5108,0.1174,-0.2422,753
nr_breakout__nr_period7__exit_bars3,nr_breakout,XLV,pattern,-0.0815,0.3356,-0.112,665
nr_breakout__nr_period7__exit_bars5,nr_breakout,XLV,pattern,0.0272,0.3269,-0.1456,576
nr_breakout__nr_period10__exit_bars5,nr_breakout,XLV,pattern,0.033,-0.4949,-0.2713,469
nr_breakout__nr_period10__exit_bars10,nr_breakout,XLV,pattern,-0.5919,0.0302,-0.1758,384
overnight_gap__period1__threshold0.001,overnight_gap,XLV,volume,-0.5508,0.2341,-0.2653,2450
overnight_gap__period1__threshold0.003,overnight_gap,XLV,volume,-0.2553,0.3536,-0.1468,2069
