name,family,ticker,category,is_sharpe,oos_sharpe,oos_drawdown,trade_count
fisher_transform__period5,fisher_transform,SPY,trend,-0.6475,-0.3232,-0.3063,901
fisher_transform__period10,fisher_transform,SPY,trend,-0.2589,-0.1686,-0.3498,599
fisher_transform__period20,fisher_transform,SPY,trend,0.0449,-0.7822,-0.4545,414
fisher_transform__period30,fisher_transform,SPY,trend,0.1372,-0.533,-0.425,328
relative_vigor__period10,relative_vigor,SPY,trend,-0.1658,0.003,-0.3717,1122
relative_vigor__period14,relative_vigor,SPY,trend,-0.1658,0.003,-0.3717,1122
relative_vigor__period20,relative_vigor,SPY,trend,-0.1658,0.003,-0.3717,1122
chande_momentum__period14__threshold0.0,chande_momentum,SPY,trend,0.2212,-0.5596,-0.4319,389
chande_momentum__period20__threshold0.0,chande_momentum,SPY,trend,0.3181,-0.3123,-0.3314,334
chande_momentum__period20__threshold10.0,chande_momentum,SPY,trend,0.2565,-0.7481,-0.3977,610
chande_momentum__period30__threshold0.0,chande_momentum,SPY,trend,0.1894,-0.1289,-0.3206,263
chande_momentum__period9__threshold0.0,chande_momentum,SPY,trend,-0.1206,-0.4544,-0.3674,512
demarker__period14__hi_thresh0.7__lo_thresh0.3,demarker,SPY,meanrev,0.1734,1.0677,-0.0821,503
demarker__period14__hi_thresh0.8__lo_thresh0.2,demarker,SPY,meanrev,0.3733,0.8042,-0.0466,282
demarker__period21__hi_thresh0.7__lo_thresh0.3,demarker,SPY,meanrev,0.1977,0.7033,-0.0536,302
demarker__period9__hi_thresh0.7__lo_thresh0.3,demarker,SPY,meanrev,0.1002,0.8444,-0.0952,696
stoch_rsi__rsi_period14__stoch_period14__lo20.0__hi80.0,stoch_rsi,SPY,meanrev,0.0267,0.2842,-0.1734,744
stoch_rsi__rsi_period14__stoch_period14__lo10.0__hi90.0,stoch_rsi,SPY,meanrev,-0.1647,0.0918,-0.1239,628
stoch_rsi__rsi_period7__stoch_period14__lo20.0__hi80.0,stoch_rsi,SPY,meanrev,0.1562,0.294,-0.2014,800
stoch_rsi__rsi_period21__stoch_period21__lo20.0__hi80.0,stoch_rsi,SPY,meanrev,-0.108,0.4989,-0.1192,584
hurst_regime__period100__trend_thresh0.55__mr_thresh0.45,hurst_regime,SPY,trend,0.012,-0.6248,-0.3303,365
hurst_regime__period60__trend_thresh0.55__mr_thresh0.45,hurst_regime,SPY,trend,-0.0169,-0.9089,-0.3734,570
hurst_regime__period100__trend_thresh0.58__mr_thresh0.42,hurst_regime,SPY,trend,-0.0154,0.5799,-0.0381,132
psych_line__period12__hi_thresh75.0__lo_thresh25.0,psych_line,SPY,meanrev,-0.2221,0.5933,-0.0336,130
psych_line__period12__hi_thresh65.0__lo_thresh35.0,psych_line,SPY,meanrev,-0.1009,0.0002,-0.1554,590
psych_line__period20__hi_thresh70.0__lo_thresh30.0,psych_line,SPY,meanrev,0.0393,0.0437,-0.0398,112
fisher_transform__period5,fisher_transform,QQQ,trend,-0.4534,-0.2586,-0.3119,857
fisher_transform__period10,fisher_transform,QQQ,trend,-0.2367,-0.2834,-0.3559,584
fisher_transform__period20,fisher_transform,QQQ,trend,0.2687,-0.3153,-0.4138,384
fisher_transform__period30,fisher_transform,QQQ,trend,0.12,-0.3385,-0.414,342
relative_vigor__period10,relative_vigor,QQQ,trend,-0.0131,0.1186,-0.3355,1093
relative_vigor__period14,relative_vigor,QQQ,trend,-0.0131,0.1186,-0.3355,1093
relative_vigor__period20,relative_vigor,QQQ,trend,-0.0131,0.1186,-0.3355,1093
chande_momentum__period14__threshold0.0,chande_momentum,QQQ,trend,0.1876,-0.5087,-0.5999,417
chande_momentum__period20__threshold0.0,chande_momentum,QQQ,trend,0.6291,-0.1467,-0.3731,316
chande_momentum__period20__threshold10.0,chande_momentum,QQQ,trend,0.2638,-0.5566,-0.4524,636
chande_momentum__period30__threshold0.0,chande_momentum,QQQ,trend,0.0633,-0.3225,-0.4387,246
chande_momentum__period9__threshold0.0,chande_momentum,QQQ,trend,-0.0955,-0.0507,-0.3749,522
demarker__period14__hi_thresh0.7__lo_thresh0.3,demarker,QQQ,meanrev,0.3901,0.6396,-0.0841,486
demarker__period14__hi_thresh0.8__lo_thresh0.2,demarker,QQQ,meanrev,0.5953,0.622,-0.0772,250
