name,family,ticker,category,is_sharpe,oos_sharpe,oos_drawdown,trade_count
bll_filter__pct0.005__hold0,bll_filter,SPY,trend,-0.4805,0.1851,-0.2146,1008
bll_filter__pct0.01__hold0,bll_filter,SPY,trend,-0.3051,-0.2079,-0.2947,652
bll_filter__pct0.02__hold0,bll_filter,SPY,trend,0.1665,-0.7151,-0.4403,311
bll_filter__pct0.005__hold10,bll_filter,SPY,trend,-0.5485,0.2118,-0.1987,1110
bll_filter__pct0.01__hold10,bll_filter,SPY,trend,-0.5236,-0.0424,-0.2576,818
bll_filter__pct0.01__hold20,bll_filter,SPY,trend,-0.2842,-0.1253,-0.2516,696
bll_filter__pct0.02__hold10,bll_filter,SPY,trend,-0.2262,-0.7597,-0.4208,526
frog_in_pan__lookback252__skip21__id_cutoff0.5,frog_in_pan,SPY,trend,0.8349,0.6949,-0.2117,93
frog_in_pan__lookback252__skip21__id_cutoff0.45,frog_in_pan,SPY,trend,0.699,0.8968,-0.0993,111
frog_in_pan__lookback252__skip0__id_cutoff0.5,frog_in_pan,SPY,trend,0.6227,0.624,-0.1972,93
frog_in_pan__lookback126__skip21__id_cutoff0.5,frog_in_pan,SPY,trend,0.7188,0.2718,-0.3312,147
frog_in_pan__lookback126__skip21__id_cutoff0.45,frog_in_pan,SPY,trend,0.4145,0.7871,-0.1178,187
vol_mom__mom_period126__vol_period126__skip21__vol_weight0.5,vol_mom,SPY,composite,0.0769,0.1564,-0.2375,122
vol_mom__mom_period126__vol_period126__skip0__vol_weight0.5,vol_mom,SPY,composite,0.2636,0.2847,-0.1994,122
vol_mom__mom_period252__vol_period126__skip21__vol_weight0.5,vol_mom,SPY,composite,0.2706,0.1865,-0.2464,98
vol_mom__mom_period63__vol_period63__skip0__vol_weight0.3,vol_mom,SPY,composite,0.0789,0.0723,-0.4299,163
vol_mom__mom_period126__vol_period126__skip21__vol_weight0.3,vol_mom,SPY,composite,0.214,0.4537,-0.2508,91
seasonality__n_years2,seasonality,SPY,pattern,0.5065,0.2441,-0.2038,77
seasonality__n_years3,seasonality,SPY,pattern,0.8171,0.0007,-0.2776,74
seasonality__n_years5,seasonality,SPY,pattern,0.6114,0.3109,-0.2428,66
residual_mom__lookback252__skip21,residual_mom,SPY,trend,0.5898,0.7263,-0.1935,36
residual_mom__lookback252__skip0,residual_mom,SPY,trend,0.4059,0.4453,-0.2836,36
residual_mom__lookback126__skip21,residual_mom,SPY,trend,0.4253,0.3606,-0.2993,105
vol_scaled_mom__rv_window21__vol_target0.12__damp0.5,vol_scaled_mom,SPY,trend,0.5181,0.448,-0.2048,1837
vol_scaled_mom__rv_window21__vol_target0.08__damp0.5,vol_scaled_mom,SPY,trend,0.5167,0.3591,-0.1521,2997
vol_scaled_mom__rv_window63__vol_target0.12__damp0.5,vol_scaled_mom,SPY,trend,0.5506,0.4613,-0.2065,2030
vol_scaled_mom__rv_window21__vol_target0.12__damp0.0,vol_scaled_mom,SPY,trend,0.5181,0.448,-0.2048,1837
vol_scaled_mom__rv_window21__vol_target0.15__damp0.5,vol_scaled_mom,SPY,trend,0.4661,0.4901,-0.2146,1235
bll_filter__pct0.005__hold0,bll_filter,QQQ,trend,-0.3382,-0.1243,-0.4366,1107
bll_filter__pct0.01__hold0,bll_filter,QQQ,trend,-0.4445,0.0793,-0.2903,777
bll_filter__pct0.02__hold0,bll_filter,QQQ,trend,-0.109,-0.6671,-0.5603,439
bll_filter__pct0.005__hold10,bll_filter,QQQ,trend,-0.4052,-0.111,-0.4386,1196
bll_filter__pct0.01__hold10,bll_filter,QQQ,trend,-0.4442,0.0434,-0.3117,910
bll_filter__pct0.01__hold20,bll_filter,QQQ,trend,-0.4443,0.0889,-0.2889,806
