name,family,ticker,category,is_sharpe,oos_sharpe,oos_drawdown,trade_count
cmo_fisher__fisher_period10__cmo_period14__score_thresh0.3,cmo_fisher,SPY,trend,-0.3511,-0.5479,-0.2205,906
cmo_fisher__fisher_period10__cmo_period14__score_thresh0.2,cmo_fisher,SPY,trend,-0.3039,-0.8817,-0.3229,985
cmo_fisher__fisher_period14__cmo_period20__score_thresh0.3,cmo_fisher,SPY,trend,-0.4658,0.0216,-0.0957,809
cmo_fisher__fisher_period8__cmo_period14__score_thresh0.2,cmo_fisher,SPY,trend,-0.5355,-0.7809,-0.3034,1104
rvi_divergence__rvi_period10__lookback5,rvi_divergence,SPY,meanrev,-0.557,-0.0116,-0.0344,22
rvi_divergence__rvi_period10__lookback8,rvi_divergence,SPY,meanrev,-0.139,-0.3103,-0.0403,14
rvi_divergence__rvi_period14__lookback5,rvi_divergence,SPY,meanrev,-0.557,-0.0116,-0.0344,22
adaptive_rsi__base_period14__fast_n2__slow_n30,adaptive_rsi,SPY,meanrev,0.1297,-0.0556,-0.2648,244
adaptive_rsi__base_period14__fast_n2__slow_n60,adaptive_rsi,SPY,meanrev,0.1621,0.0611,-0.2582,235
adaptive_rsi__base_period9__fast_n2__slow_n30,adaptive_rsi,SPY,meanrev,-0.2515,0.5458,-0.2732,343
adaptive_rsi__base_period21__fast_n2__slow_n30,adaptive_rsi,SPY,meanrev,0.0524,-0.0845,-0.2953,169
elder_impulse__ema_period8,elder_impulse,SPY,composite,-0.6121,0.3287,-0.1819,1483
elder_impulse__ema_period13,elder_impulse,SPY,composite,-0.5155,0.0926,-0.1739,1410
elder_impulse__ema_period20,elder_impulse,SPY,composite,-0.4835,-0.04,-0.1975,1370
klinger_osc__fast34__slow55__signal13,klinger_osc,SPY,volume,-0.0271,-0.4689,-0.3298,716
klinger_osc__fast21__slow34__signal9,klinger_osc,SPY,volume,-0.4277,-0.2377,-0.2342,909
klinger_osc__fast55__slow89__signal13,klinger_osc,SPY,volume,0.0526,-0.2191,-0.2864,644
price_oscillator__fast10__slow30__signal9,price_oscillator,SPY,trend,0.1099,-0.6492,-0.3983,324
price_oscillator__fast12__slow26__signal9,price_oscillator,SPY,trend,0.067,-0.6349,-0.3927,316
price_oscillator__fast5__slow20__signal5,price_oscillator,SPY,trend,-0.0889,-0.0753,-0.3006,580
price_oscillator__fast20__slow50__signal9,price_oscillator,SPY,trend,0.122,-0.58,-0.4417,246
