name,family,ticker,category,is_sharpe,oos_sharpe,oos_drawdown,trade_count
baz_trend__ewmstd_span42,baz_trend,SPY,trend,0.3822,0.4782,-0.2883,58
baz_trend__ewmstd_span63,baz_trend,SPY,trend,0.3822,0.4782,-0.2883,58
baz_trend__ewmstd_span126,baz_trend,SPY,trend,0.3822,0.4782,-0.2883,58
intermediate_mom__start252__end126,intermediate_mom,SPY,trend,0.4241,0.6684,-0.1935,99
intermediate_mom__start189__end105,intermediate_mom,SPY,trend,0.346,1.0192,-0.1905,140
intermediate_mom__start168__end84,intermediate_mom,SPY,trend,0.2252,0.1978,-0.2602,140
intermediate_mom__start252__end63,intermediate_mom,SPY,trend,0.7739,0.6042,-0.1935,76
mom_crash_protect__bear_lookback504__bear_thresh-0.2__damp0.0,mom_crash_protect,SPY,trend,0.4457,0.5034,-0.2273,64
mom_crash_protect__bear_lookback504__bear_thresh-0.2__damp0.25,mom_crash_protect,SPY,trend,0.4457,0.5034,-0.2273,64
mom_crash_protect__bear_lookback252__bear_thresh-0.2__damp0.0,mom_crash_protect,SPY,trend,0.4457,0.5034,-0.2273,64
mom_crash_protect__bear_lookback504__bear_thresh-0.25__damp0.0,mom_crash_protect,SPY,trend,0.4457,0.5034,-0.2273,64
consistent_mom__consistency_thresh0.5,consistent_mom,SPY,trend,0.4603,0.5317,-0.2285,179
consistent_mom__consistency_thresh0.58,consistent_mom,SPY,trend,0.7038,0.51,-0.2165,274
consistent_mom__consistency_thresh0.67,consistent_mom,SPY,trend,0.2742,0.186,-0.2415,649
signed_range_mom__period10__threshold0.1,signed_range_mom,SPY,trend,-0.1893,0.0662,-0.1812,975
signed_range_mom__period21__threshold0.1,signed_range_mom,SPY,trend,-0.0014,0.1095,-0.147,693
signed_range_mom__period21__threshold0.15,signed_range_mom,SPY,trend,-0.1001,-0.3237,-0.1973,648
signed_range_mom__period42__threshold0.1,signed_range_mom,SPY,trend,-0.2121,-0.0347,-0.1652,486
signed_range_mom__period63__threshold0.1,signed_range_mom,SPY,trend,-0.555,-0.119,-0.252,392
multi_tsmom,multi_tsmom,SPY,trend,0.3636,0.5473,-0.24,278
"multi_tsmom__lookbacks(63, 126, 252)",multi_tsmom,SPY,trend,0.3252,0.6258,-0.2711,106
"multi_tsmom__lookbacks(21, 63, 252)",multi_tsmom,SPY,trend,0.1164,0.4177,-0.2791,191
"multi_tsmom__lookbacks(21, 63, 126, 252)__weights(0.4, 0.3, 0.2, 0.1)",multi_tsmom,SPY,trend,0.2961,0.3583,-0.3063,198
"multi_tsmom__lookbacks(21, 63, 126, 252)__weights(0.1, 0.2, 0.3, 0.4)",multi_tsmom,SPY,trend,0.3648,0.8586,-0.1782,132
baz_trend__ewmstd_span42,baz_trend,QQQ,trend,0.3415,-0.099,-0.3917,67
baz_trend__ewmstd_span63,baz_trend,QQQ,trend,0.3415,-0.099,-0.3917,67
baz_trend__ewmstd_span126,baz_trend,QQQ,trend,0.3415,-0.099,-0.3917,67
intermediate_mom__start252__end126,intermediate_mom,QQQ,trend,0.503,0.6238,-0.234,89
intermediate_mom__start189__end105,intermediate_mom,QQQ,trend,0.3932,0.8821,-0.1935,136
intermediate_mom__start168__end84,intermediate_mom,QQQ,trend,0.4742,0.2427,-0.2472,138
intermediate_mom__start252__end63,intermediate_mom,QQQ,trend,0.956,0.4773,-0.234,84
mom_crash_protect__bear_lookback504__bear_thresh-0.2__damp0.0,mom_crash_protect,QQQ,trend,0.827,0.6877,-0.234,44
mom_crash_protect__bear_lookback504__bear_thresh-0.2__damp0.25,mom_crash_protect,QQQ,trend,0.827,0.6877,-0.234,44
mom_crash_protect__bear_lookback252__bear_thresh-0.2__damp0.0,mom_crash_protect,QQQ,trend,0.8081,0.6877,-0.234,56
mom_crash_protect__bear_lookback504__bear_thresh-0.25__damp0.0,mom_crash_protect,QQQ,trend,0.827,0.6877,-0.234,44
consistent_mom__consistency_thresh0.5,consistent_mom,QQQ,trend,0.8557,0.6797,-0.234,145
consistent_mom__consistency_thresh0.58,consistent_mom,QQQ,trend,0.5769,0.5893,-0.2868,344
consistent_mom__consistency_thresh0.67,consistent_mom,QQQ,trend,0.6704,-0.0367,-0.2643,659
signed_range_mom__period10__threshold0.1,signed_range_mom,QQQ,trend,-0.4645,0.088,-0.2009,1073
signed_range_mom__period21__threshold0.1,signed_range_mom,QQQ,trend,-0.1802,-0.0924,-0.2133,718
signed_range_mom__period21__threshold0.15,signed_range_mom,QQQ,trend,-0.5764,-0.188,-0.2897,654
signed_range_mom__period42__threshold0.1,signed_range_mom,QQQ,trend,-0.4047,-0.1748,-0.2615,525
